Name,Description
CONTACTO INDIRECTO,Es el contacto de personas o animales con elementos o partes conductivas que normalmente no se encuentran energizadas. Pero en condiciones de falla de los aislamientos se puedan energizar.
CONTAMINACIÓN,"Liberación artificial de sustancias o energía hacia el entorno y que puede causar efectos adversos en el ser humano, otros organismos vivos, equipos o el medio ambiente."
CONTRATISTA,"Persona natural o jurídica que responde ante el dueño de una obra, para efectuar actividades de asesoría, interventora, diseño, supervisión, construcción, operación, mantenimiento u otras relacionadas con las líneas eléctricas y equipos asociados, cubiertas por el presente Reglamento Técnico."
CONTROL DE CALIDAD,"Proceso de regulación, a través del cual se mide y controla la calidad real de un producto o servicio."
CONTROLADOR DE CERCA ELÉCTRICA,Aparato diseñado para suministrar periódicamente impulsos de alta tensión a una cerca conectada a él.
CORRIENTE ELÉCTRICA,"Es el movimiento de cargas eléctricas entre dos puntos que no se hallan al mismo potencial, por tener uno de ellos un exceso de electrones respecto al otro."
CORRIENTE DE CONTACTO,"Corriente que circula a través del cuerpo humano, cuando está sometido a una tensión de contacto."
CORROSIÓN,"Ataque a una materia y destrucción progresiva de la misma, mediante una acción química o electroquímica o bacteriana."
CORTOCIRCUITO,Unión de muy baja resistencia entre dos o más puntos de diferente potencial del mismo circuito.
DAÑO,Consecuencia material de un accidente.
DERECHOS DE ACOMETIDA,Compensación económica que reciben las empresas suministradoras por las instalaciones de extensión y responsabilidad necesarias para atender la demanda de nuevos suministros y los ya existentes.
DERECHOS DE CONEXIÓN,"Cantidad que tiene derecho a percibir la empresa suministradora por la conexión de sus instalaciones, así como por la conexión o desconexión del equipo de medida."
DERIVACIÓN INDIVIDUAL,"Parte de la instalación de enlace que une la línea repartidora con las instalaciones interiores del cliente y que, iniciándose en el embarrado general, comprende los fusibles de seguridad, el conjunto de medida y los dispositivos de mando y protección."
DESASTRE,Situación catastrófica súbita que afecta a gran número de personas.
DESCARGA DISRUPTIVA,"Falla de un aislamiento bajo un esfuerzo eléctrico, por superarse un nivel de tensión determinado que hace circular una corriente. Se aplica al rompimiento del dieléctrico en sólidos, líquidos o gases y a la combinación de estos."
DESCUIDO,Olvido o desatención de alguna regla de trabajo.
DIELÉCTRICO,Material de baja conductividad eléctrica que puede ser tomado como no conductor o aislador.
DISCRIMINACIÓN HORARIA,"Mecanismo que consiste en separar, mediante los contadores adecuados, los consumos de energía en períodos o espacios de tiempo previamente establecidos por el comercializador (horas punta, valle, llano, días pico al año, días altos al año, etc.)."
DISPONIBILIDAD,Certeza de que un equipo o sistema sea operable en un tiempo dado. Cualidad para operar normalmente.
DISPOSITIVO DE CONTROL DE HOMBRE MUERTO,Dispositivo diseñado para parar un equipo cuando un operario libera el mismo con la mano o pie.
DISPOSITIVO DE PROTECCIÓN CONTRA SOBRETENSIONES TRANSISTORIAS,Dispositivo diseñado para limitar las sobretensiones transitorias y conducir las corrientes de impulso. Contiene al menos un elemento no lineal.
DISPOSITIVO DE PROTECCIÓN CONTRA SOBRETENSIONES TRANSITORIAS DEL TIPO CONMUTACIÓN DE TENSIÓN,"Un DPS que tiene una alta impedancia cuando no está presente un transitorio, pero que cambia súbitamente su impedancia a un valor bajo en respuesta a un transitorio de tensión. Ejemplos de estos dispositivos son: Los vía de chispas, tubos de gas, tiristores y triacs."
DISPOSITIVO DE PROTECCIÓN CONTRA SOBRETENSIONES TRANSITORIAS DEL TIPO LIMITACIÓN DE  TENSIÓN,"Un DPS que tiene una alta impedancia cuando no esta presente un transitorio, pero se reduce gradualmente con el incremento de la corriente y la tensión transitoria. Ejemplos de estos dispositivos son los varistores y los diodos de supresión."
DISTANCIA A MASA,"Distancia mínima, bajo condiciones especificadas, entre una parte bajo tensión y toda estructura que tiene el mismo potencial de tierra."
DISTANCIA AL SUELO,"Distancia mínima, bajo condiciones ya especificadas, entre el conductor bajo tensión y el terreno."
DISTANCIA DE SEGURIDAD,"Distancia mínima alrededor de un equipo eléctrico o de conductores energizados, necesaria para garantizar que no habrá accidente por acercamiento de personas, animales, estructuras, edificaciones o de otros equipos."
DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA,"Transferencia de energía eléctrica a los consumidores, dentro de un área específica."
DOBLE AISLAMIENTO,Aislamiento compuesto de un aislamiento básico y uno suplementario.
ECOLOGÍA,Ciencia que trata las relaciones de los organismos entre sí y con el medio ambiente que los rodea.
EDIFICACIÓN,Edificio o conjunto de edificios para habitación humana o para otros usos.
EDIFICIO ALTO,"Es aquel que supera los 23 metros de altura, medidos desde el nivel donde puede acceder un vehículo de bomberos, según el Código de Seguridad de Vida o NFPA 101."
ELECTRICIDAD,"El conjunto de disciplinas que estudian los fenómenos eléctricos o una forma de energía obtenida del producto de la potencia eléctrica consumida por el tiempo de servicio. El suministro de electricidad al usuario debe entenderse como un servicio de transporte de energía, con una componente técnica y otra comercial."
ELECTRICIDAD ESTÁTICA,Una forma de energía eléctrica o el estudio de cargas eléctricas en reposo.
ELÉCTRICO,Aquello que tiene o funciona con electricidad.
ELECTRIZAR,Producir la electricidad en cuerpo o comunicársela.
ELECTROCUCIÓN,"Paso de corriente eléctrica a través del cuerpo humano, cuya consecuencia es la muerte."
ELECTRODO DE PUESTA A TIERRA,Es el conductor o conjunto de conductores enterrados que sirven para establecer una conexión con el suelo.
ELECTRÓNICA,"Parte de la electricidad que maneja las técnicas fundamentadas en la utilización de haces de electrones en vacío, en gases o en semiconductores. 
"
ELECTROTECNIA,Estudio de las aplicaciones técnicas de la electricidad.
EMERGENCIA,Situación que se presenta por un hecho accidental y que requiere suspender todo trabajo para atenderla.
EMPALME,"Conexión eléctrica destinada a unir dos partes de conductores, para garantizar continuidad eléctrica y mecánica."
EMPRESA,"Unidad económica que se representa como un sistema integral con recursos humanos, de información, financieros y técnicos que produce bienes o servicios y genera utilidad."
ENERGÍA ACTIVA,"Energía eléctrica en la que las características de tensión e intensidad están en fase y, por lo tanto, se transforman en trabajo útil."
ENERGÍA REACTIVA,"Energía eléctrica en la que las características de tensión e intensidad están
desfasadas 90 grados. Esta energía no produce trabajo útil, pero es necesaria para el funcionamiento de determinados receptores.
"
ENSAYO,Conjunto de pruebas y controles a los cuales se somete un bien para asegurarse que cumple normas y pueda desempeñar la función requerida.
EQUIPO,Conjunto de personas o elementos especializados para lograr un fin o realizar un trabajo.
EQUIPO DE CONTROL,"Parte de la instalación de enlace que une la línea repartidora con las instalaciones interiores del cliente y que, iniciándose en el embarrado general, comprende los fusibles de seguridad, el conjunto de medida y los dispositivos de mando y protección"
EQUIPO ELÉCTRICO DE SOPORTE DE LA VIDA,Equipo eléctrico cuyo funcionamiento contínuo es imprescindible para mantener la vida de un paciente.
EQUIPO ELÉCTRICO MOVIBLE,Equipo alimentado por un cable de arrastre y que está diseñado para ser movido sólo cuando está desenergizado.
EQUIPO ELÉCTRICO MÓVIL,Equipo que está diseñado para ser energizado mientras se mueve.
EQUIPOTENCIALIZAR,"Es el proceso, práctica o acción de conectar partes conductivas de las instalaciones, equipos o sistemas entre sí o a un sistema de puesta a tierra, mediante una baja impedancia, para que la diferencia de potencial sea mínima entre los puntos interconectados."
ERROR,"Acción o estado desacertado o equivocado, susceptible de provocar avería o accidente."
ESPECIFICACIÓN TÉCNICA,Documento que establece características técnicas mínimas de un producto o servicio.
EVALUACIÓN DE LA CONFORMIDAD,"Procedimiento utilizado, directa o indirectamente, para determinar que se cumplen los requisitos o prescripciones pertinentes de los reglamentos técnicos o normas."
EVENTO,"Es una manifestación o situación, producto de fenómenos naturales, técnicos o sociales que puede dar lugar a una emergencia."
EXPLOSIÓN,Expansión rápida y violenta de una masa gaseosa que genera una onda de presión que puede afectar sus proximidades.
EXPOSICIÓN OCUPACIONAL,"Toda exposición de los trabajadores ocurrida durante la jornada de trabajo, a un riesgo o contaminante."
EXTENSIÓN,"Conjunto compuesto de tomacorriente, cables y clavija; sin conductores expuestos y sin empalmes, utilizado con carácter provisional."
EXTINTOR,"Aparato autónomo, que contiene un agente para apagar el fuego, eliminando el oxígeno."
FACTOR DE RIESGO,Condición ambiental o humana cuya presencia o modificación puede producir un accidente o una enfermedad ocupacional.
FALLA,"Degradación de componentes. Alteración intencional o fortuita de la capacidad de un sistema, componente o persona, para cumplir una función requerida."
FASE,"Designación de un conductor, un grupo de conductores, un terminal, un devanado o cualquier otro elemento de un sistema polifásico que va a estar energizado durante el servicio normal."
FIBRILACIÓN VENTRICULAR,Contracción espontánea e incontrolada de las fibras del músculo cardíaco.
FLECHA,"Distancia vertical máxima en un vano, entre el conductor y la línea recta horizontal que une los dos puntos de sujeción."
FLICKER,"Es la percepción de la variación de la luminosidad de una lámpara, ocasionada por fluctuaciones de tensión en la red eléctrica. Depende fundamentalmente de la amplitud, frecuencia y duración de las fluctuaciones de tensión que la causan."
FLUCTUACIONES DE TENSIÓN,Producidas por variaciones periódicas o series de cambios aleatorios en la tensión de la red eléctrica. Su duración va desde varios milisegundos hasta los diez segundos y con una amplitud no superior al 10% del valor nominal.
FRECUENCIA,Número de períodos por segundo de una onda. Se mide en hertz o ciclos por segundo.
FRENTE MUERTO,Parte de un equipo accesible a las personas y sin partes activas expuestas.
FUEGO,"Combinación de combustible, oxígeno y calor. Combustión que se desarrolla en condiciones  controladas."
FUEGO CLASE C,El originado en equipos eléctricos energizados.
FUENTE DE ENERGÍA,Todo equipo o sistema que suministre energía eléctrica.
FUENTE DE RESPALDO,"Uno o más sistemas de suministro de energía (grupos electrógenos, bancos de baterías, UPS, circuito de suplencia) cuyo objetivo es proveer energía durante la interrupción del servicio eléctrico normal."
FUGA DE CORRIENTE,"Derivación de la corriente por caminos distintos a los hitos activos, provocada, generalmente, por deterioro del aislamiento del conductor."
FUSIBLE,"Componente cuya función es abrir, por la fusión de uno o varios de sus componentes, el circuito en el cual está insertado."
GENERACIÓN DE ENERGÍA ELÉCTRICA,"Proceso mediante el cual se obtiene energía eléctrica a partir de alguna otra forma de energía (mecánica, química, potencial, eólica, etc)."
GENERACIÓN HIDRÁULICA,"Es un sistema de generación que utiliza el agua como fuente de energía para producir electricidad, para lo cual transforma la energía de movimiento del agua, en energía eléctrica a través de los generadores."
GENERACIÓN TÉRMICA,Generación de energía donde se usa una turbina accionada por vapor de agua inyectado a presión para mover el eje de los generadores eléctricos.
GENERACIÓN EÓLICA,Generación de Energía mediante el uso de la energía del viento.
GENERADOR,"Persona natural o jurídica que produce energía eléctrica, que tiene por lo menos una central o unidad generadora. También significa equipo de generación de energía eléctrica incluyendo los grupos electrógenos."
I.G.A.,Interruptor General Automático. Aparato utilizado como interruptor de protección general de todos los circuitos de un suministro.
IGNICIÓN,Acción de originar una combustión.
ILUMINANCIA,"Es la densidad de flujo luminoso que incide sobre una superficie. Su unidad, el lux, equivale al flujo luminoso de un lumen que incide homogéneamente sobre una superficie de un metro cuadrado."
IMPACTO AMBIENTAL,"Acción o actividad que produce una alteración, favorable o desfavorable, en el medio ambiente o en alguno de los componentes del mismo."
IMPERICIA,Falta de habilidad para desarrollar una tarea.
INCENDIO,Es todo fuego incontrolado.
INDUCCIÓN,"Fenómeno en el que un cuerpo energizado, transmite por medio de su campo eléctrico o magnético, energía a otro cuerpo, a pesar de estar separados por un dieléctrico."
INDUCCIÓN ELECTROMAGNÉTICA,"Es la generación de electricidad en un conductor, debido al movimiento de un campo magnético cerca de este o por el movimiento del conductor en dicho campo."
INFLAMABLE,Material que se puede encender y quemar rápidamente.
INMUNIDAD,Es la capacidad de un equipo o sistema para funcionar correctamente sin degradarse ante la presencia de una perturbación electromagnética.
INSPECCIÓN,"Conjunto de actividades tales como medir, examinar, ensayar o comparar con requisitos establecidos, una o varias características de un producto o instalación eléctrica, para determinar su conformidad."
INSTALACIÓN ELÉCTRICA,"Conjunto de aparatos eléctricos, conductores y circuitos asociados, previstos para un fin particular: generación, transmisión, transformación, conversión, distribución o uso final de la energía eléctrica."
INSTALACIÓN,Es la conexión de las instalaciones del cliente a la red de la empresa distribuidora.
INTENSIDAD,Una de las magnitudes que caracterizan la corriente eléctrica y se define como la cantidad de electricidad que pasa a través de la sección de un hilo conductor en un segundo. La unidad de medida es el amperio.
INTERFERENCIA ELECTROMAGNÉTICA,Conjunto de fenómenos asociados a perturbaciones electromagnéticas que pueden producir la degradación en las condiciones y características de operación de un equipo o sistema.
INTERRUPTOR,Accesorio eléctrico que se utiliza para conectar o desconectar una parte de la instalación.
INTERRUPTOR AUTOMÁTICO,Dispositivo diseñado para que abra el circuito automáticamente cuando se produzca una sobrecorriente predeterminada.
INTERRUPTOR DE FALLA A TIERRA,"Interruptor diferencial accionado por corrientes de fuga a tierra, cuya función es interrumpir la corriente hacia la carga cuando se excede algún valor determinado por la soportabilidad de las personas."
INTERRUPTOR DE USO GENERAL,"Dispositivo para abrir y cerrar o para conmutar la conexión de un circuito, diseñado para ser operado manualmente, cumple funciones de control y no de protección."
INTERRUPTOR DIFERENCIAL,Aparato encargado de proteger a personas y cosas contra los contactos indirectos.
KILOVATIO HORA (KWH),Es la unidad de energía eléctrica y se utiliza para medir el consumo de energía activa. Equivale al consumo de un artefacto de 1.000 W de potencia durante una hora.
KILOVOLTAMPERIO (KVA),Unidad de potencia aparente que equivale a 1.000 voltamperios.
KILOVOLTAMPERIO REACTIVO (KVAR),Unidad de potencia reactiva que equivale a 1.000 voltamperios reactivos.
LABORATORIO DE METROLOGÍA,Laboratorio que reúne la competencia e idoneidad necesarias para determinar la aptitud o funcionamiento de equipos de medición.
LABORATORIO DE PRUEBA Y ENSAYOS,"Laboratorio nacional, extranjero o internacional, que posee la competencia e idoneidad necesarias para llevar a cabo en forma general la determinación de las características, aptitud o funcionamiento de materiales o productos."
LÁMPARA INCANDESCENTE,Elemento emisor de luz constituido por un fi lamento en alto vacío.
LÁMPARA FLUORESCENTE,Es una lámpara eléctrica cargada con un gas inerte (comúnmente neón). Emite luz visible por el paso de la corriente eléctrica a través de ella.
LESIÓN,Perjuicio fisiológico sufrido por una persona.
LEVANTAMIENTO DE EQUIPOS DE MEDIDA,"Acción por la cual se desconecta un equipo de medida para su comprobación, sustitución o baja."
LEY DE FARADAY,"""Si un campo magnético variable atraviesa el interior de una espiral se obtendrá en esta una corriente eléctrica""."
LIMITADOR,"También llamado interruptor de control de potencia (i.c.p.). Limita la potencia máxima que se puede utilizar en un suministro, de acuerdo con el contrato."
LÍMITE DE APROXIMACIÓN RESTRINGIDA,Es la distancia mínima hasta la cual el personal calificado puede situarse sin llevar los elementos de protección personal certificados contra riesgo por arco eléctrico.
LÍMITE DE APROXIMACIÓN SEGURA,"Es la distancia mínima, desde el punto energizado más accesible del equipo, hasta la cual el personal no calificado puede situarse sin riesgo de exposición al arco eléctrico."
LÍMITE DE APROXIMACIÓN TÉCNICA,Es la distancia mínima en la cual solo el personal calificado que lleva elementos de protección personal certificados contra arco eléctrico realiza trabajos en la zona de influencia directa de las partes energizadas de un equipo.
LÍNEA DE TRANSMISIÓN,"Un sistema de conductores y sus accesorios, para el transporte de energía eléctrica, desde una planta de generación o una subestación a otra subestación. Un circuito teórico equivalente que representa una línea de energía o de comunicaciones."
LÍNEA ELÉCTRICA,"Conjunto compuesto por conductores, aisladores, estructuras y accesorios destinados al transporte de energía eléctrica."
LÍNEA MUERTA,Término aplicado a una línea sin tensión o desenergizada.
LÍNEA REPARTIDORA,Parte de la instalación en baja tensión que enlaza una caja general de protección con las derivaciones individuales que alimenta.
LÍNEA VIVA,Término aplicado a una línea con tensión o línea energizada.
LOTE,"Cantidad determinada de elementos de características similares, que son fabricados bajo condiciones de producción presumiblemente uniformes, que se someten a inspección como un conjunto unitario."
LUGAR O LOCAL HÚMEDO,"Sitios interiores o exteriores parcialmente protegidos, sometidos a un grado moderado de humedad, cuyas condiciones ambientales se manifiestan momentáneamente o permanentemente."
LUGAR (CLASIFICADO) PELIGROSO,"Aquella zona donde están o pueden estar presentes gases o vapores inflamables, polvos combustibles o partículas volátiles de fácil inflamación."
LUMEN,Unidad de medida que cuantifica la cantidad de luz emitida por una fuente de iluminación.
LUMINANCIA,"Es el flujo reflejado por los cuerpos, o el flujo emitido si un objeto se considera fuente de luz. También llamado brillo fotométrico. Su unidad es la candela por metro cuadrado."
LUMINARIA,"Componente mecánico y óptico de un sistema de alumbrado que proyecta, filtra y distribuye los rayos luminosos, además de alojar y proteger los elementos requeridos para la iluminación."
MANIOBRA,Conjunto de procedimientos tendientes a operar una red eléctrica en forma segura.
MANTENIMIENTO,"Conjunto de acciones o procedimientos tendientes a preservar o restablecer un bien, a un estado tal que le permita garantizar la máxima confiabilidad."
MÁQUINA,"Conjunto de mecanismos accionados por una forma de energía, para transformarla en otra más apropiada a un efecto dado."
MASA,"Conjunto de partes metálicas de un equipo, que en condiciones normales, están aisladas de las partes activas y se toma como referencia para las señales y tensiones de un circuito electrónico. Las masas pueden estar o no estar conectadas a tierra."
MATERIAL,"Cualquier sustancia, insumo, parte o repuesto que se transforma con su primer uso o se incorpora a un bien como parte de él."
