Name,Descripción,Enlace
DISPOSITIVO DE CONTROL DE HOMBRE MUERTO,Dispositivo diseñado para parar un equipo cuando un operario libera el mismo con la mano o pie.,/taxonomy/term/130/definition
DISPOSITIVO DE PROTECCIÓN CONTRA SOBRETENSIONES TRANSISTORIAS,Dispositivo diseñado para limitar las sobretensiones transitorias y conducir las corrientes de impulso. Contiene al menos un elemento no lineal.,/taxonomy/term/131/definition
DISPOSITIVO DE PROTECCIÓN CONTRA SOBRETENSIONES TRANSITORIAS DEL TIPO CONMUTACIÓN DE TENSIÓN,"Un DPS que tiene una alta impedancia cuando no está presente un transitorio, pero que cambia súbitamente su impedancia a un valor bajo en respuesta a un transitorio de tensión. Ejemplos de estos dispositivos son: Los vía de chispas, tubos de gas, tiristores y triacs.",/taxonomy/term/132/definition
DISPOSITIVO DE PROTECCIÓN CONTRA SOBRETENSIONES TRANSITORIAS DEL TIPO LIMITACIÓN DE  TENSIÓN,"Un DPS que tiene una alta impedancia cuando no esta presente un transitorio, pero se reduce gradualmente con el incremento de la corriente y la tensión transitoria. Ejemplos de estos dispositivos son los varistores y los diodos de supresión.",/taxonomy/term/133/definition
DISTANCIA A MASA,"Distancia mínima, bajo condiciones especificadas, entre una parte bajo tensión y toda estructura que tiene el mismo potencial de tierra.",/taxonomy/term/134/definition
DISTANCIA AL SUELO,"Distancia mínima, bajo condiciones ya especificadas, entre el conductor bajo tensión y el terreno.",/taxonomy/term/135/definition
DISTANCIA DE SEGURIDAD,"Distancia mínima alrededor de un equipo eléctrico o de conductores energizados, necesaria para garantizar que no habrá accidente por acercamiento de personas, animales, estructuras, edificaciones o de otros equipos.",/taxonomy/term/136/definition
DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA,"Transferencia de energía eléctrica a los consumidores, dentro de un área específica.",/taxonomy/term/137/definition
DOBLE AISLAMIENTO,Aislamiento compuesto de un aislamiento básico y uno suplementario.,/taxonomy/term/138/definition
ECOLOGÍA,Ciencia que trata las relaciones de los organismos entre sí y con el medio ambiente que los rodea.,/taxonomy/term/139/definition
EDIFICACIÓN,Edificio o conjunto de edificios para habitación humana o para otros usos.,/taxonomy/term/140/definition
EDIFICIO ALTO,"Es aquel que supera los 23 metros de altura, medidos desde el nivel donde puede acceder un vehículo de bomberos, según el Código de Seguridad de Vida o NFPA 101.",/taxonomy/term/141/definition
ELECTRICIDAD,"El conjunto de disciplinas que estudian los fenómenos eléctricos o una forma de energía obtenida del producto de la potencia eléctrica consumida por el tiempo de servicio. El suministro de electricidad al usuario debe entenderse como un servicio de transporte de energía, con una componente técnica y otra comercial.",/taxonomy/term/142/definition
ELECTRICIDAD ESTÁTICA,Una forma de energía eléctrica o el estudio de cargas eléctricas en reposo.,/taxonomy/term/143/definition
ELÉCTRICO,Aquello que tiene o funciona con electricidad.,/taxonomy/term/144/definition
ELECTRIZAR,Producir la electricidad en cuerpo o comunicársela.,/taxonomy/term/145/definition
ELECTROCUCIÓN,"Paso de corriente eléctrica a través del cuerpo humano, cuya consecuencia es la muerte.",/taxonomy/term/146/definition
ELECTRODO DE PUESTA A TIERRA,Es el conductor o conjunto de conductores enterrados que sirven para establecer una conexión con el suelo.,/taxonomy/term/147/definition
ELECTRÓNICA,"Parte de la electricidad que maneja las técnicas fundamentadas en la utilización de haces de electrones en vacío, en gases o en semiconductores.",/taxonomy/term/148/definition
ELECTROTECNIA,Estudio de las aplicaciones técnicas de la electricidad.,/taxonomy/term/149/definition
EMERGENCIA,Situación que se presenta por un hecho accidental y que requiere suspender todo trabajo para atenderla.,/taxonomy/term/150/definition
EMPALME,"Conexión eléctrica destinada a unir dos partes de conductores, para garantizar continuidad eléctrica y mecánica.",/taxonomy/term/151/definition
EMPRESA,"Unidad económica que se representa como un sistema integral con recursos humanos, de información, financieros y técnicos que produce bienes o servicios y genera utilidad.",/taxonomy/term/152/definition
ENERGÍA ACTIVA,"Energía eléctrica en la que las características de tensión e intensidad están en fase y, por lo tanto, se transforman en trabajo útil.",/taxonomy/term/153/definition
ENERGÍA REACTIVA,"Energía eléctrica en la que las características de tensión e intensidad están
desfasadas 90 grados. Esta energía no produce trabajo útil, pero es necesaria para el funcionamiento de determinados receptores.",/taxonomy/term/154/definition
ENSAYO,Conjunto de pruebas y controles a los cuales se somete un bien para asegurarse que cumple normas y pueda desempeñar la función requerida.,/taxonomy/term/155/definition
EQUIPO,Conjunto de personas o elementos especializados para lograr un fin o realizar un trabajo.,/taxonomy/term/156/definition
EQUIPO DE CONTROL,"Parte de la instalación de enlace que une la línea repartidora con las instalaciones interiores del cliente y que, iniciándose en el embarrado general, comprende los fusibles de seguridad, el conjunto de medida y los dispositivos de mando y protección",/taxonomy/term/157/definition
EQUIPO ELÉCTRICO DE SOPORTE DE LA VIDA,Equipo eléctrico cuyo funcionamiento contínuo es imprescindible para mantener la vida de un paciente.,/taxonomy/term/158/definition
EQUIPO ELÉCTRICO MOVIBLE,Equipo alimentado por un cable de arrastre y que está diseñado para ser movido sólo cuando está desenergizado.,/taxonomy/term/159/definition
EQUIPO ELÉCTRICO MÓVIL,Equipo que está diseñado para ser energizado mientras se mueve.,/taxonomy/term/160/definition
EQUIPOTENCIALIZAR,"Es el proceso, práctica o acción de conectar partes conductivas de las instalaciones, equipos o sistemas entre sí o a un sistema de puesta a tierra, mediante una baja impedancia, para que la diferencia de potencial sea mínima entre los puntos interconectados.",/taxonomy/term/161/definition
ERROR,"Acción o estado desacertado o equivocado, susceptible de provocar avería o accidente.",/taxonomy/term/162/definition
ESPECIFICACIÓN TÉCNICA,Documento que establece características técnicas mínimas de un producto o servicio.,/taxonomy/term/163/definition
EVALUACIÓN DE LA CONFORMIDAD,"Procedimiento utilizado, directa o indirectamente, para determinar que se cumplen los requisitos o prescripciones pertinentes de los reglamentos técnicos o normas.",/taxonomy/term/164/definition
EVENTO,"Es una manifestación o situación, producto de fenómenos naturales, técnicos o sociales que puede dar lugar a una emergencia.",/taxonomy/term/165/definition
EXPLOSIÓN,Expansión rápida y violenta de una masa gaseosa que genera una onda de presión que puede afectar sus proximidades.,/taxonomy/term/166/definition
EXPOSICIÓN OCUPACIONAL,"Toda exposición de los trabajadores ocurrida durante la jornada de trabajo, a un riesgo o contaminante.",/taxonomy/term/167/definition
EXTENSIÓN,"Conjunto compuesto de tomacorriente, cables y clavija; sin conductores expuestos y sin empalmes, utilizado con carácter provisional.",/taxonomy/term/168/definition
EXTINTOR,"Aparato autónomo, que contiene un agente para apagar el fuego, eliminando el oxígeno.",/taxonomy/term/169/definition
FACTOR DE RIESGO,Condición ambiental o humana cuya presencia o modificación puede producir un accidente o una enfermedad ocupacional.,/taxonomy/term/170/definition
FALLA,"Degradación de componentes. Alteración intencional o fortuita de la capacidad de un sistema, componente o persona, para cumplir una función requerida.",/taxonomy/term/171/definition
FASE,"Designación de un conductor, un grupo de conductores, un terminal, un devanado o cualquier otro elemento de un sistema polifásico que va a estar energizado durante el servicio normal.",/taxonomy/term/172/definition
FIBRILACIÓN VENTRICULAR,Contracción espontánea e incontrolada de las fibras del músculo cardíaco.,/taxonomy/term/173/definition
FLECHA,"Distancia vertical máxima en un vano, entre el conductor y la línea recta horizontal que une los dos puntos de sujeción.",/taxonomy/term/174/definition
FLICKER,"Es la percepción de la variación de la luminosidad de una lámpara, ocasionada por fluctuaciones de tensión en la red eléctrica. Depende fundamentalmente de la amplitud, frecuencia y duración de las fluctuaciones de tensión que la causan.",/taxonomy/term/175/definition
FLUCTUACIONES DE TENSIÓN,Producidas por variaciones periódicas o series de cambios aleatorios en la tensión de la red eléctrica. Su duración va desde varios milisegundos hasta los diez segundos y con una amplitud no superior al 10% del valor nominal.,/taxonomy/term/176/definition
FRECUENCIA,Número de períodos por segundo de una onda. Se mide en hertz o ciclos por segundo.,/taxonomy/term/177/definition
FRENTE MUERTO,Parte de un equipo accesible a las personas y sin partes activas expuestas.,/taxonomy/term/178/definition
FUEGO,"Combinación de combustible, oxígeno y calor. Combustión que se desarrolla en condiciones  controladas.",/taxonomy/term/179/definition
FUEGO CLASE C,El originado en equipos eléctricos energizados.,/taxonomy/term/180/definition
FUENTE DE ENERGÍA,Todo equipo o sistema que suministre energía eléctrica.,/taxonomy/term/181/definition
FUENTE DE RESPALDO,"Uno o más sistemas de suministro de energía (grupos electrógenos, bancos de baterías, UPS, circuito de suplencia) cuyo objetivo es proveer energía durante la interrupción del servicio eléctrico normal.",/taxonomy/term/182/definition
FUGA DE CORRIENTE,"Derivación de la corriente por caminos distintos a los hitos activos, provocada, generalmente, por deterioro del aislamiento del conductor.",/taxonomy/term/183/definition
FUSIBLE,"Componente cuya función es abrir, por la fusión de uno o varios de sus componentes, el circuito en el cual está insertado.",/taxonomy/term/184/definition
GENERACIÓN DE ENERGÍA ELÉCTRICA,"Proceso mediante el cual se obtiene energía eléctrica a partir de alguna otra forma de energía (mecánica, química, potencial, eólica, etc).",/taxonomy/term/185/definition
GENERACIÓN HIDRÁULICA,"Es un sistema de generación que utiliza el agua como fuente de energía para producir electricidad, para lo cual transforma la energía de movimiento del agua, en energía eléctrica a través de los generadores.",/taxonomy/term/186/definition
GENERACIÓN TÉRMICA,Generación de energía donde se usa una turbina accionada por vapor de agua inyectado a presión para mover el eje de los generadores eléctricos.,/taxonomy/term/187/definition
GENERACIÓN EÓLICA,Generación de Energía mediante el uso de la energía del viento.,/taxonomy/term/188/definition
GENERADOR,"Persona natural o jurídica que produce energía eléctrica, que tiene por lo menos una central o unidad generadora. También significa equipo de generación de energía eléctrica incluyendo los grupos electrógenos.",/taxonomy/term/189/definition
I.G.A.,Interruptor General Automático. Aparato utilizado como interruptor de protección general de todos los circuitos de un suministro.,/taxonomy/term/190/definition
IGNICIÓN,Acción de originar una combustión.,/taxonomy/term/191/definition
ILUMINANCIA,"Es la densidad de flujo luminoso que incide sobre una superficie. Su unidad, el lux, equivale al flujo luminoso de un lumen que incide homogéneamente sobre una superficie de un metro cuadrado.",/taxonomy/term/192/definition
IMPACTO AMBIENTAL,"Acción o actividad que produce una alteración, favorable o desfavorable, en el medio ambiente o en alguno de los componentes del mismo.",/taxonomy/term/193/definition
IMPERICIA,Falta de habilidad para desarrollar una tarea.,/taxonomy/term/194/definition
INCENDIO,Es todo fuego incontrolado.,/taxonomy/term/195/definition
INDUCCIÓN,"Fenómeno en el que un cuerpo energizado, transmite por medio de su campo eléctrico o magnético, energía a otro cuerpo, a pesar de estar separados por un dieléctrico.",/taxonomy/term/196/definition
INDUCCIÓN ELECTROMAGNÉTICA,"Es la generación de electricidad en un conductor, debido al movimiento de un campo magnético cerca de este o por el movimiento del conductor en dicho campo.",/taxonomy/term/197/definition
INFLAMABLE,Material que se puede encender y quemar rápidamente.,/taxonomy/term/198/definition
INMUNIDAD,Es la capacidad de un equipo o sistema para funcionar correctamente sin degradarse ante la presencia de una perturbación electromagnética.,/taxonomy/term/199/definition
INSPECCIÓN,"Conjunto de actividades tales como medir, examinar, ensayar o comparar con requisitos establecidos, una o varias características de un producto o instalación eléctrica, para determinar su conformidad.",/taxonomy/term/200/definition
INSTALACIÓN ELÉCTRICA,"Conjunto de aparatos eléctricos, conductores y circuitos asociados, previstos para un fin particular: generación, transmisión, transformación, conversión, distribución o uso final de la energía eléctrica.",/taxonomy/term/201/definition
INSTALACIÓN,Es la conexión de las instalaciones del cliente a la red de la empresa distribuidora.,/taxonomy/term/202/definition
INTENSIDAD,Una de las magnitudes que caracterizan la corriente eléctrica y se define como la cantidad de electricidad que pasa a través de la sección de un hilo conductor en un segundo. La unidad de medida es el amperio.,/taxonomy/term/203/definition
INTERFERENCIA ELECTROMAGNÉTICA,Conjunto de fenómenos asociados a perturbaciones electromagnéticas que pueden producir la degradación en las condiciones y características de operación de un equipo o sistema.,/taxonomy/term/204/definition
INTERRUPTOR,Accesorio eléctrico que se utiliza para conectar o desconectar una parte de la instalación.,/taxonomy/term/205/definition
